design.study_id,design.study_design,design.source,design.sex,design.age_profile,design.countries,design.summary,design.study_name,design.age_description,design.race,design.participant_n,design.years_enrolled,design.years_followup,design.criteria,design.susceptibility,design.comments,chemical.name,chemical.dsstox_id,exposure.name,exposure.measurement_type,exposure.biomonitoring_matrix,exposure.biomonitoring_source,exposure.measurement_timing,exposure.exposure_route,exposure.measurement_method,exposure.comments,exposure_level.name,exposure_level.sub_population,exposure_level.mean,exposure_level.variance_type,exposure_level.variance,exposure_level.units,exposure_level.ci_type,exposure_level.ci_lcl,exposure_level.ci_ucl,exposure_level.negligible_exposure,exposure_level.data_location,exposure_level.comments,outcome.system,outcome.effect,outcome.endpoint,outcome.comments,adjustment.name,adjustment.description,data_extraction.sub_population,data_extraction.outcome_measurement_timing,data_extraction.effect_estimate_type,data_extraction.effect_estimate,data_extraction.ci_lcl,data_extraction.ci_ucl,data_extraction.ci_type,data_extraction.units,data_extraction.variance_type,data_extraction.variance,data_extraction.n,data_extraction.significant,data_extraction.group,data_extraction.exposure_rank,data_extraction.exposure_transform,data_extraction.outcome_transform,data_extraction.confidence,data_extraction.data_location,data_extraction.effect_description,data_extraction.statistical_method,data_extraction.adverse_direction,data_extraction.comments
101,Cohort,General population,Male and Female,Adults|Pregnant women,US|CA,Community birth cohort evaluating maternal exposure to PFAS,Maternal-Infant Health Study,Participants enrolled during pregnancy,Predominantly non-Hispanic White,420,2010-2014,2010-2018,Singleton pregnancies with complete exposure records,Includes pregnant people residing near fluorochemical facility,Follow-up to 3 years postpartum,Perfluorooctanesulfonic acid,DTXSID8037952,PFAS serum concentration,Biomonitoring|Questionnaire,Blood (portion: Plasma),Maternal,Third trimester,IH,LC-MS/MS quantified PFAS; structured interview for covariates,Serum stored at -80C prior to analysis,PFOS mid-pregnancy mean,Full cohort,8.6,SD,2.1,ng/mL,5th/95th percentile,4.3,12.5,,Table 2,Values reported for maternal serum at 28 weeks,Developmental,Neurodevelopmental outcomes,Bayley-III cognitive composite score,Primary adjusted model,Maternal education,Years of maternal schooling considered in model,,,Hazard Ratio (HR),1.18,0.95,1.47,5th/95th percentile,,SD,0.12,392,No,Quartile comparison,2,log10,,High,"Table 4, Model 2",HR comparing highest vs lowest PFOS quartile,Linear regression,↑,Associations attenuated when additionally adjusting for breastfeeding duration
202,Case-control,Occupational,Male,Adults,US|MX,Occupational solvent exposure among automotive painters,Midwest Auto Workers Study,Workers aged 25-60 employed at auto plant,Predominantly Hispanic,312,2008-2012,2008-2014,Employed at facility with at least 1 year tenure,Includes workers with previous dermal conditions,Annual exposure assessments performed onsite,Benzene,DTXSID4020001,Personal air monitoring benzene,Industrial hygiene|Biomonitoring,Blood (portion: Whole blood),From participant,Mid-shift,Inhalation,Passive diffusion badges analyzed via GC-MS,Quarterly sampling campaign,Average mid-shift benzene,Painters,0.45,SD,0.12,ppm,"Range [min, max]",0.10,0.92,,Table 1,Represents 8-hour TWA exposures,Hematologic,Blood cell counts,Absolute lymphocyte count,Primary adjusted analysis,Smoking status,Current vs former vs never,Painters,End of shift,Comparison of Means,-0.35,-0.58,-0.12,"Range [min, max]",10^9 cells/L,SD,0.16,156,Yes,High exposure vs low exposure,2,,,Moderate,Table 3,Difference in lymphocyte count between exposure quartiles,Mixed-effects linear regression,↓,"Adjusted for age, BMI, and shift duration"
305,Randomized controlled trial,General population,Female,Adults,UK,Supplementation trial evaluating folate to reduce arsenic toxicity,Folate Arsenic Trial,Women aged 18-45 with elevated well water arsenic,Not reported,220,2015-2016,2015-2017,Arsenic in well water above 10 µg/L,Includes households using private wells,Randomized double-blind design,Arsenic,,Toenail arsenic concentration,Biomonitoring|Questionnaire,Nails,From participant,Baseline and 12 weeks,Oral,ICP-MS analysis following microwave digestion,Participants provided clipped toenails at visits,Baseline toenail arsenic,Supplement group,1.8,SD,0.5,µg/g,10th/90th percentile,1.2,2.7,,Supplemental Table S1,Baseline before supplementation,Reproductive,Pregnancy outcomes,Incidence of gestational hypertension,Evaluated among pregnancies occurring within follow-up,Parity and BMI,"Adjusted for parity (0, 1-2, >2) and baseline BMI",Supplement group,End of follow-up,Relative Risk Ratio (RR),0.78,0.55,1.10,N/A,,N/A,,210,No,Supplement vs placebo,1,,,High,Table 4,RR for gestational hypertension,Log-binomial regression,↓,Intervention reduced arsenic biomarkers but effect on hypertension not significant
418,Cross-sectional,General population,Male and Female,Children and adolescents <18 yrs,CA,School-based survey examining indoor PM2.5 exposure and asthma symptoms,Toronto Student Air Study,Students aged 9-14 in public schools,Diverse urban population,560,2012-2013,2012-2013,Enrollment in participating schools with consent,Includes children with pre-existing asthma,Air sampling conducted during winter,Fine particulate matter,,Classroom PM2.5 concentration,Industrial hygiene|Questionnaire,,,During school day,Inhalation,Continuous nephelometer readings averaged over 8 hours,Questionnaire captured classroom ventilation practices,Mean classroom PM2.5,All students,18.4,SD,6.2,µg/m³,N/A,,,,Figure 2,Average across classrooms,Respiratory,Asthma symptoms,Reported wheeze in past 2 weeks,Parent-reported questionnaire,Household smoking and pets,Binary indicators for smokers and furred pets in the home,All students,Winter survey,Odds Ratio (OR),1.32,1.05,1.66,N/A,,N/A,,560,Yes,Per IQR increase in PM2.5,1,log(x+1),,Moderate,Table 2,OR for wheeze per IQR increase in PM2.5,Logistic regression,↑,Model adjusted for school clustering
522,Case series,Other,Not reported,Other,SE,Clinical series of pesticide poisoning incidents,Nordic Acute Poisoning Review,Patients aged 5-67 presenting to regional hospitals,Not reported,48,2016-2018,2016-2018,Confirmed acute pesticide ingestion cases,Includes individuals with prior liver disease,Data abstracted from clinical records,Chlorpyrifos,DTXSID6021750,Serum cholinesterase activity,Clinical lab,Blood (portion: Serum),From participant,Upon hospital admission,Oral,Ellman assay,Samples processed within 2 hours,Admission cholinesterase,All cases,3200,SD,850,U/L,N/A,,,,Table 1,Reported as mean ± SD,Nervous,Neurological symptoms,Occurrence of seizures during hospitalization,Clinician-confirmed seizures,None,Descriptive case series,All cases,Hospital stay,Incidence Risk Ratio (IRR),1.85,1.10,3.11,N/A,,N/A,,48,Yes,Low cholinesterase vs reference,1,,,Low,Table 2,IRR of seizures for lowest tertile cholinesterase,Poisson regression,↑,Wide confidence intervals due to small sample
634,Nested case-control,General population,Female,Pregnant women,FR|BE,Nested case-control examining phthalate metabolites and preterm birth,EU Pregnancy Cohort Consortium,Pregnant women aged 18-42,Predominantly White European,980,2009-2014,2009-2015,Singleton pregnancies with stored urine samples,Includes women with prior preterm birth,Controls matched on gestational age at sample collection,Diethyl phthalate,DTXSID8020603,Urinary MEP concentration,Biomonitoring,Urine,Maternal,Second trimester,Oral,LC-MS/MS,Specific gravity corrected,Median MEP cases,Preterm birth cases,156.2,IQR (interquartile range),120.4,µg/L,5th/95th percentile,45.0,390.0,,Table 1,Specific gravity corrected MEP,Developmental,Birth outcomes,Preterm birth (<37 weeks),Conditional logistic regression,Socioeconomic covariates,"Education, smoking, parity, BMI",Matched pairs,Delivery,Odds Ratio (OR),1.42,1.12,1.80,5th/95th percentile,,N/A,,326,Yes,Highest quartile vs lowest,4,log (unspecified basis),,Moderate,Table 3,Adjusted OR for preterm birth,Conditional logistic regression,↑,Adjusted for urinary dilution
742,Non-randomized controlled trial,Other,Male and Female,Adults,AU,Community intervention reducing woodstove smoke exposure,Tasmania Woodstove Replacement Program,Adults aged 30-75 residing in target communities,Predominantly White,180,2011-2012,2011-2014,Households using woodstoves as primary heating source,Includes individuals with COPD,Intervention communities received stove replacements in 2012,Particulate matter,,Indoor PM2.5 via personal monitors,Biomonitoring|Industrial hygiene,,,Heating season,Inhalation,Personal nephelometer worn for 48 hours,Pre- and post-intervention periods,Post-intervention PM2.5,Intervention group,12.6,SD,4.1,µg/m³,10th/90th percentile,7.3,19.8,,Table 2,Post-intervention levels only,Cardiovascular,Blood pressure,Change in systolic blood pressure,Difference between baseline and 12 months,Medication use,Adjusted for antihypertensive medication changes,Intervention group,12 months post,Mean difference,-4.8,-7.1,-2.5,N/A,mmHg,SD,3.2,90,Yes,Intervention vs control,1,,,High,Table 4,Change in systolic blood pressure relative to control,Generalized estimating equations,↓,Baseline differences accounted for in model
855,Cohort,General population,All genders,Adults|Other,NZ,Longitudinal study of nitrate in drinking water and thyroid outcomes,New Zealand Water Study,Residents aged 20-70 using private wells,Mixed,410,2006-2009,2006-2014,Living at address for at least 2 years,Includes individuals with pre-existing thyroid disease,Annual mailed surveys,Nitrate,,Tap water nitrate,Environmental sampling,,,Annual composite sample,Oral,Ion chromatography,Samples kept chilled during transport,Annual average nitrate,All participants,7.2,SD,2.3,mg/L,N/A,,,,Table 1,Average of duplicate samples,Endocrine,Thyroid function,Incident hypothyroidism,Diagnosed via medical records,Age and sex,Adjusted for age (years) and sex,Full cohort,Annual follow-up,Hazard Ratio (HR),1.12,0.88,1.41,N/A,,N/A,,410,No,Per 5 mg/L increase,3,,,Low,Table 2,HR per 5 mg/L increase,Cox proportional hazards,↑,No significant association observed
911,Cross-sectional,General population,Male and Female,Children and adolescents <18 yrs,USA,Community survey of lead exposure and attention scores,Midwest Lead Study,Children aged 6-12 living near smelter,Predominantly Black,285,2011-2012,2011-2012,Residency within 5 km of smelter,Includes children with ADHD diagnosis,Home visits conducted by study nurses,Lead,,Blood lead level,Biomonitoring,Blood (portion: Whole blood),From participant,Single home visit,Unknown/Total,Anodic stripping voltammetry,Quality control duplicates collected,Blood lead geometric mean,All participants,3.7,GSD,1.4,µg/dL,N/A,,,,Table 1,Geometric mean with GSD,Nervous,Neurobehavioral outcomes,Conners attention score,Teacher-reported,Household income,Categorical income levels,All participants,During visit,Spearman's Correlation Coefficient,-0.28,,,N/A,,N/A,,285,Yes,Correlation with blood lead,1,log10,z-score,Moderate,Table 4,Correlation between log blood lead and attention score,Spearman correlation,↓,Higher lead associated with lower attention scores
1003,Ecological,Other,Male and Female,Adults,DE,Regional pesticide application and Parkinson incidence rates,German Pesticide Atlas,Adults aged 50+ by municipality,Not reported,48,2000-2010,2000-2015,Municipalities with complete registry data,Includes agricultural communities,Ecological design with municipality-level data,Paraquat,DTXSID6029692,Annual paraquat application density,Environmental monitoring,,,Annual,Dermal,Aggregated agricultural reporting,Normalized by crop acreage,Mean paraquat application,High-use municipalities,3.2,SD,0.9,kg/ha,N/A,,,,Figure 3,Average over study period,Nervous,Neurodegenerative diseases,Parkinson incidence rate ratio,Age-standardized rates,Rurality index,Adjusted for municipality-level rurality score,High vs low use municipalities,Study period,Standardized Incidence Ratio (SIR),Not available,0.98,1.45,N/A,,N/A,,,No,High vs low paraquat use,,,,Low,Table 5,SIR comparing municipalities,Poisson regression with offset,↑,Ecological comparison
